offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Maryland,ACC,Georgia Tech,ACC,242830120,24283012002,2,False,1,53,47,"{'seconds': 15, 'minutes': 14}",1,83,17,"{'seconds': 21, 'minutes': 10}",7,30,MISSED FG,True,0,0,0,0
Georgia Tech,ACC,Maryland,ACC,242830120,24283012003,3,False,1,73,73,"{'seconds': 21, 'minutes': 10}",1,68,68,"{'seconds': 44, 'minutes': 8}",3,5,PUNT,False,0,0,0,0
Maryland,ACC,Georgia Tech,ACC,242830120,24283012004,4,False,1,35,65,"{'seconds': 44, 'minutes': 8}",1,40,60,"{'seconds': 39, 'minutes': 6}",6,5,PUNT,True,0,0,0,0
Georgia Tech,ACC,Maryland,ACC,242830120,24283012005,5,False,1,80,80,"{'seconds': 39, 'minutes': 6}",1,38,38,"{'seconds': 58, 'minutes': 2}",9,42,PUNT,False,0,0,0,0
Maryland,ACC,Georgia Tech,ACC,242830120,24283012006,6,False,1,20,80,"{'seconds': 58, 'minutes': 2}",2,25,75,"{'seconds': 49, 'minutes': 14}",6,5,PUNT,True,0,0,0,0
Georgia Tech,ACC,Maryland,ACC,242830120,24283012007,7,False,2,56,56,"{'seconds': 49, 'minutes': 14}",2,28,28,"{'seconds': 54, 'minutes': 10}",7,28,PUNT,False,0,0,0,0
Maryland,ACC,Georgia Tech,ACC,242830120,24283012008,8,False,2,20,80,"{'seconds': 54, 'minutes': 10}",2,26,74,"{'seconds': 26, 'minutes': 9}",3,6,PUNT,True,0,0,0,0
Georgia Tech,ACC,Maryland,ACC,242830120,24283012009,9,True,2,77,77,"{'seconds': 26, 'minutes': 9}",2,0,0,"{'seconds': 44, 'minutes': 6}",9,77,PASSING TD,False,0,0,7,0
Maryland,ACC,Georgia Tech,ACC,242830120,24283012010,10,False,2,0,100,"{'seconds': 44, 'minutes': 6}",2,20,80,"{'seconds': 44, 'minutes': 6}",1,0,KICKOFF,True,0,7,0,7
Maryland,ACC,Georgia Tech,ACC,242830120,24283012011,11,False,2,20,80,"{'seconds': 44, 'minutes': 6}",2,14,86,"{'seconds': 35, 'minutes': 4}",3,-6,PUNT,True,0,7,0,7
Georgia Tech,ACC,Maryland,ACC,242830120,24283012012,12,True,2,64,64,"{'seconds': 35, 'minutes': 4}",2,2,2,"{'seconds': 25, 'minutes': 1}",8,62,MADE FG,False,7,0,10,0
Maryland,ACC,Georgia Tech,ACC,242830120,24283012013,13,False,2,0,100,"{'seconds': 25, 'minutes': 1}",2,52,48,"{'seconds': 17, 'minutes': 1}",1,0,KICKOFF,True,0,10,0,10
Maryland,ACC,Georgia Tech,ACC,242830120,24283012014,14,False,2,52,48,"{'seconds': 17, 'minutes': 1}",2,52,48,"{'seconds': 4, 'minutes': 1}",3,0,PUNT,True,0,10,0,10
Maryland,ACC,Georgia Tech,ACC,242830120,24283012017,15,False,3,21,79,"{'seconds': 52, 'minutes': 14}",3,26,74,"{'seconds': 13, 'minutes': 12}",5,5,PUNT,True,0,10,0,10
Georgia Tech,ACC,Maryland,ACC,242830120,24283012018,16,True,3,66,66,"{'seconds': 13, 'minutes': 12}",3,0,0,"{'seconds': 6, 'minutes': 10}",5,66,RUSHING TD,False,10,0,17,0
Maryland,ACC,Georgia Tech,ACC,242830120,24283012019,17,False,3,0,100,"{'seconds': 6, 'minutes': 10}",3,28,72,"{'seconds': 0, 'minutes': 10}",1,0,KICKOFF,True,0,17,0,17
Maryland,ACC,Georgia Tech,ACC,242830120,24283012020,18,False,3,28,72,"{'seconds': 0, 'minutes': 10}",3,29,71,"{'seconds': 0, 'minutes': 8}",3,1,PUNT,True,0,17,0,17
Georgia Tech,ACC,Maryland,ACC,242830120,24283012021,19,False,3,63,63,"{'seconds': 0, 'minutes': 8}",3,61,61,"{'seconds': 17, 'minutes': 6}",3,2,PUNT,False,17,0,17,0
Maryland,ACC,Georgia Tech,ACC,242830120,24283012022,20,False,3,14,86,"{'seconds': 17, 'minutes': 6}",3,7,93,"{'seconds': 57, 'minutes': 5}",3,-7,POSS. ON DOWNS,True,0,17,0,17
Maryland,ACC,Georgia Tech,ACC,242830120,24283012023,21,False,3,0,100,"{'seconds': 57, 'minutes': 5}",3,93,7,"{'seconds': 57, 'minutes': 5}",0,0,PUNT,True,0,17,0,17
Georgia Tech,ACC,Maryland,ACC,242830120,24283012024,22,True,3,43,43,"{'seconds': 57, 'minutes': 5}",3,10,10,"{'seconds': 27, 'minutes': 2}",5,33,MADE FG,False,17,0,20,0
Maryland,ACC,Georgia Tech,ACC,242830120,24283012025,23,False,3,0,100,"{'seconds': 27, 'minutes': 2}",3,37,63,"{'seconds': 22, 'minutes': 2}",1,0,KICKOFF,True,0,20,0,20
Maryland,ACC,Georgia Tech,ACC,242830120,24283012026,24,False,3,37,63,"{'seconds': 22, 'minutes': 2}",4,98,2,"{'seconds': 58, 'minutes': 12}",11,61,POSS. ON DOWNS,True,0,20,0,20
Maryland,ACC,Georgia Tech,ACC,242830120,24283012027,25,True,4,2,98,"{'seconds': 58, 'minutes': 12}",4,100,0,"{'seconds': 28, 'minutes': 11}",1,98,RUSHING TD,True,6,20,7,20
Georgia Tech,ACC,Maryland,ACC,242830120,24283012028,26,False,4,0,0,"{'seconds': 28, 'minutes': 11}",4,77,77,"{'seconds': 20, 'minutes': 11}",1,0,KICKOFF,False,20,7,20,7
Georgia Tech,ACC,Maryland,ACC,242830120,24283012029,27,False,4,77,77,"{'seconds': 20, 'minutes': 11}",4,94,94,"{'seconds': 22, 'minutes': 9}",3,-17,PUNT,False,20,7,20,7
Maryland,ACC,Georgia Tech,ACC,242830120,24283012030,28,False,4,56,44,"{'seconds': 22, 'minutes': 9}",4,61,39,"{'seconds': 12, 'minutes': 8}",4,5,POSS. ON DOWNS,True,7,20,7,20
Maryland,ACC,Georgia Tech,ACC,242830120,24283012031,29,False,4,64,36,"{'seconds': 12, 'minutes': 8}",4,41,59,"{'seconds': 32, 'minutes': 7}",1,-23,RUSH,True,7,20,7,20
Georgia Tech,ACC,Maryland,ACC,242830120,24283012032,30,False,4,41,41,"{'seconds': 32, 'minutes': 7}",4,55,55,"{'seconds': 1, 'minutes': 6}",2,-14,PUNT,False,20,7,20,7
Maryland,ACC,Georgia Tech,ACC,242830120,24283012033,31,False,4,25,75,"{'seconds': 1, 'minutes': 6}",4,25,75,"{'seconds': 1, 'minutes': 6}",1,0,PUNT,True,7,20,7,20
Georgia Tech,ACC,Maryland,ACC,242830120,24283012034,32,False,4,61,61,"{'seconds': 1, 'minutes': 6}",4,54,54,"{'seconds': 32, 'minutes': 3}",4,7,PUNT,False,20,7,20,7
Maryland,ACC,Georgia Tech,ACC,242830120,24283012035,33,False,4,27,73,"{'seconds': 32, 'minutes': 3}",4,19,81,"{'seconds': 29, 'minutes': 1}",4,-8,SACK,True,7,20,7,20
Georgia Tech,ACC,Maryland,ACC,242830120,24283012036,34,False,4,19,19,"{'seconds': 29, 'minutes': 1}",4,19,19,"{'seconds': 0, 'minutes': 0}",3,0,RUSH,False,20,7,20,7
Michigan State,Big Ten,Illinois,Big Ten,242830127,24283012701,1,False,1,20,80,"{'seconds': 0, 'minutes': 15}",1,20,80,"{'seconds': 53, 'minutes': 13}",3,0,PUNT,True,0,0,0,0
Illinois,Big Ten,Michigan State,Big Ten,242830127,24283012702,2,False,1,70,70,"{'seconds': 53, 'minutes': 13}",1,64,64,"{'seconds': 53, 'minutes': 9}",6,6,PUNT,False,0,0,0,0
Michigan State,Big Ten,Illinois,Big Ten,242830127,24283012703,3,True,1,55,45,"{'seconds': 53, 'minutes': 9}",1,100,0,"{'seconds': 19, 'minutes': 6}",9,45,PASSING TD,True,0,0,7,0
