game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401441997,2022,1,postseason,away,2567,SMU,American Athletic,252,BYU,FBS Independents,27-37,0,29,2-3,0,0,0,6,1,0,0,0,5,218,1,1,2,28:34,0,30,2,0,50,1,171,1,1,1,10-18,1,2-28,389,1,5.9,3.4
401441997,2022,1,postseason,home,252,BYU,FBS Independents,2567,SMU,American Athletic,7-12,1,16,2-2,0,0,1,76,1,0,25,1,6,47,1,1,0,31:26,0,0,0,0,42,2,209,2,2,2,5-12,1,5-53,256,1,3.9,5.0
401441998,2022,1,postseason,away,290,Georgia Southern,Sun Belt,2084,Buffalo,Mid-American,29-47,0,22,1-1,1,1,0,0,1,0,18,1,7,355,0,0,2,21:51,0,25,2,0,20,0,89,2,0,2,7-15,1,7-55,444,2,7.6,4.5
401441998,2022,1,postseason,home,2084,Buffalo,Mid-American,290,Georgia Southern,Sun Belt,21-38,0,25,0-0,1,1,0,13,0,0,19,1,11,265,1,1,1,37:29,0,0,1,0,42,1,124,0,0,0,12-19,2,3-30,389,1,7.0,3.0
401441999,2022,1,postseason,away,57,Florida,SEC,204,Oregon State,Pac-12,13-22,0,13,0-2,0,0,0,0,0,0,91,4,3,180,0,0,0,30:25,0,-1,1,0,33,0,39,2,2,2,5-14,2,11-82,219,0,8.2,1.2
401441999,2022,1,postseason,home,204,Oregon State,Pac-12,57,Florida,SEC,17-26,0,24,1-1,0,0,0,0,0,0,26,1,6,189,0,0,1,29:03,0,13,2,0,38,3,164,4,4,4,7-12,0,7-50,353,0,7.3,4.3
401442000,2022,1,postseason,away,235,Memphis,American Athletic,328,Utah State,Mountain West,20-29,0,26,0-0,1,0,0,35,0,0,26,1,8,284,3,3,3,36:06,0,8,2,0,47,2,146,4,4,4,7-14,1,5-55,430,1,9.8,3.1
401442000,2022,1,postseason,home,328,Utah State,Mountain West,235,Memphis,American Athletic,15-23,0,15,0-1,0,1,0,0,3,0,121,4,4,135,0,0,1,23:54,0,1,1,0,35,0,126,6,5,6,5-13,0,8-54,261,3,5.9,3.6
401442001,2022,1,postseason,away,249,North Texas,Conference USA,68,Boise State,Mountain West,19-35,0,23,2-2,0,0,0,0,2,0,138,6,6,259,0,0,2,27:33,0,0,0,0,40,2,176,0,0,0,9-18,0,6-43,435,2,7.4,4.4
401442001,2022,1,postseason,home,68,Boise State,Mountain West,249,North Texas,Conference USA,13-22,0,23,1-2,0,0,0,90,0,0,24,1,9,137,0,2,1,31:27,0,0,0,0,48,3,320,0,0,0,5-13,0,8-59,457,0,6.2,6.7
401442002,2022,1,postseason,away,324,Coastal Carolina,Sun Belt,151,East Carolina,American Athletic,17-25,0,20,0-1,3,0,0,0,0,0,105,7,3,212,0,0,1,27:40,0,12,1,0,38,3,125,0,0,0,5-12,0,11-99,337,3,8.5,3.3
401442002,2022,1,postseason,home,151,East Carolina,American Athletic,324,Coastal Carolina,Sun Belt,27-39,0,24,2-4,0,3,0,0,0,0,145,4,9,314,0,0,5,31:40,0,0,1,0,32,2,172,0,0,0,5-11,0,11-130,486,0,8.1,5.4
401442003,2022,1,postseason,away,276,Marshall,Sun Belt,41,UConn,FBS Independents,10-20,0,17,0-1,1,1,2,35,1,0,55,3,4,93,0,3,2,27:20,0,-3,1,0,44,1,201,0,0,0,6-14,0,10-112,294,2,4.7,4.6
401442003,2022,1,postseason,home,41,UConn,FBS Independents,276,Marshall,Sun Belt,11-30,0,18,0-2,1,1,0,0,3,0,56,3,2,172,0,1,0,31:12,0,3,3,0,38,2,144,0,0,0,3-12,0,10-115,316,4,5.7,3.8
