game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401261674,2020,12,regular,home,2226,Florida Atlantic,Conference USA,113,Massachusetts,FBS Independents,15-30,0,16,2-4,1,0,0,13,0,0,0,0,6,228,3,2,1,34:50,0,0,0,4,44,2,140,3,31,5,7-19,0,4-20,368,1,7.6,3.2
401261675,2020,14,regular,away,2226,Florida Atlantic,Conference USA,290,Georgia Southern,Sun Belt,14-28,0,16,0-3,2,0,0,0,2,0,89,5,3,189,4,0,0,23:15,0,0,0,1,29,0,133,1,44,7,2-10,0,5-30,322,4,6.8,4.6
401261675,2020,14,regular,home,290,Georgia Southern,Sun Belt,2226,Florida Atlantic,Conference USA,3-12,1,18,1-3,0,2,0,0,0,0,18,1,8,70,3,2,0,36:45,1,49,1,2,59,1,269,0,33,5,6-14,0,3-35,339,0,5.8,4.6
401262060,2020,16,regular,away,201,Oklahoma,Big 12,66,Iowa State,Big 12,22-34,0,20,0-0,0,0,0,1,0,0,86,2,9,272,3,3,1,27:23,0,7,1,6,31,2,120,3,44,5,1-11,0,8-59,392,0,8.0,3.9
401262060,2020,16,regular,home,66,Iowa State,Big 12,201,Oklahoma,Big 12,27-40,0,20,1-1,0,0,0,0,3,0,43,2,3,322,5,0,1,32:12,0,0,0,4,31,2,113,1,36,2,4-13,0,5-42,435,3,8.1,3.6
401262493,2020,14,regular,away,2433,UL Monroe,Sun Belt,2032,Arkansas State,Sun Belt,21-35,0,18,1-5,0,0,0,32,0,0,129,5,1,213,3,1,1,32:54,0,0,0,2,36,1,110,1,29,6,1-13,0,6-41,323,0,6.1,3.1
401262493,2020,14,regular,home,2032,Arkansas State,Sun Belt,2433,UL Monroe,Sun Belt,17-32,0,20,0-1,0,0,0,0,1,0,32,2,12,511,6,0,6,27:06,0,0,0,0,32,0,78,4,48,7,10-16,0,3-12,589,1,16.0,2.4
401262494,2020,14,regular,away,2653,Troy,Sun Belt,6,South Alabama,Sun Belt,34-42,0,25,0-2,0,1,0,0,1,0,32,1,9,297,3,1,3,31:47,0,11,1,1,35,0,117,5,35,8,10-15,0,1-10,414,1,7.1,3.3
401262494,2020,14,regular,home,6,South Alabama,Sun Belt,2653,Troy,Sun Belt,21-37,0,17,1-6,1,0,0,0,1,0,39,2,0,182,1,1,0,28:13,0,0,0,0,30,0,57,1,52,5,5-15,0,1-10,239,2,4.9,1.9
401264080,2020,13,regular,away,235,Memphis,American Athletic,2426,Navy,American Athletic,18-32,0,12,1-2,1,1,0,0,0,0,11,1,4,205,4,1,1,26:02,0,23,1,0,26,0,75,1,43,2,4-14,0,5-25,280,1,6.4,2.9
401264080,2020,13,regular,home,2426,Navy,American Athletic,235,Memphis,American Athletic,4-13,0,14,3-5,1,1,0,0,1,0,0,0,1,88,6,0,0,33:58,0,2,1,2,52,1,233,0,31,5,2-13,0,2-15,321,2,6.8,4.5
401264082,2020,14,regular,away,235,Memphis,American Athletic,2655,Tulane,American Athletic,20-39,0,20,0-2,0,0,0,31,2,0,107,5,3,255,5,1,2,25:56,0,18,2,0,28,1,45,3,54,7,5-14,0,4-29,300,2,6.5,1.6
