game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownEff,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
332642199,2013,4,regular,home,2199,Eastern Michigan,Mid-American,2050,Ball State,Mid-American,20-32,25,3-4,2,1,0,0,2,0,75,5,2,212,0,1,33:15,0,0,0,44,2,204,5-13,9-78,416,4,6.6,4.6
332642226,2013,4,regular,away,2393,Middle Tennessee,Conference USA,2226,Florida Atlantic,Conference USA,13-24,21,1-1,0,3,0,0,2,0,80,2,6,150,2,2,27:49,0,0,0,45,4,296,8-15,1-7,446,2,6.3,6.6
332642226,2013,4,regular,home,2226,Florida Atlantic,Conference USA,2393,Middle Tennessee,Conference USA,31-50,28,2-3,3,0,0,28,2,0,96,5,5,321,2,3,32:14,0,8,2,45,2,182,13-20,4-25,503,5,6.4,4.0
332642247,2013,4,regular,away,55,Jacksonville State,OVC,2247,Georgia State,Sun Belt,17-32,22,0-0,2,1,0,18,1,0,60,3,8,311,1,0,26:05,0,10,1,44,4,122,8-16,5-55,433,3,9.7,2.8
332642247,2013,4,regular,home,2247,Georgia State,Sun Belt,55,Jacksonville State,OVC,16-42,22,2-3,1,2,0,0,1,0,97,3,8,250,0,2,30:57,1,27,4,42,0,150,7-20,9-62,400,2,6.0,3.6
332642294,2013,4,regular,away,2711,Western Michigan,Mid-American,2294,Iowa,Big Ten,16-38,9,1-1,1,2,0,0,3,0,131,7,3,135,0,0,23:49,0,1,1,20,0,74,1-14,2-16,209,4,3.6,3.7
332642294,2013,4,regular,home,2294,Iowa,Big Ten,2711,Western Michigan,Mid-American,11-18,22,1-1,2,1,2,48,0,0,65,2,11,188,3,2,36:11,2,192,6,58,2,258,9-15,6-60,446,2,10.4,4.4
332642305,2013,4,regular,away,2348,Louisiana Tech,Conference USA,2305,Kansas,Big 12,35-55,29,0-0,2,0,0,15,1,0,30,2,4,289,2,1,31:08,0,9,2,32,0,154,8-17,3-35,443,3,5.3,4.8
332642305,2013,4,regular,home,2305,Kansas,Big 12,2348,Louisiana Tech,Conference USA,28-46,20,0-2,0,2,0,0,2,0,17,1,7,279,1,1,28:52,0,0,0,33,0,117,7-17,8-68,396,2,6.1,3.5
332642390,2013,4,regular,away,2542,Savannah St,MEAC,2390,Miami,ACC,8-25,8,2-3,0,0,0,0,4,0,104,6,1,44,0,0,26:41,0,0,0,26,1,139,1-13,2-7,183,4,1.8,5.3
332642390,2013,4,regular,home,2390,Miami,ACC,2542,Savannah St,MEAC,20-23,27,2-3,0,0,0,37,0,1,183,2,11,313,4,4,33:06,0,25,3,46,6,324,6-9,10-75,637,0,13.6,7.0
332642439,2013,4,regular,away,2710,Western Illinois,MVFC,2439,UNLV,Mountain West,13-33,19,1-4,0,0,0,0,2,0,84,5,1,141,0,1,31:00,0,14,3,41,0,197,5-16,6-40,338,2,4.3,4.8
332642439,2013,4,regular,home,2439,UNLV,Mountain West,2710,Western Illinois,MVFC,14-22,23,2-2,0,0,0,20,0,0,16,1,8,140,2,1,29:03,0,-1,1,49,4,284,6-15,0-0,424,0,6.4,5.8
332642440,2013,4,regular,away,62,Hawai'i,Mountain West,2440,Nevada,Mountain West,24-45,20,0-3,2,1,0,0,4,0,61,3,3,243,0,1,32:13,0,23,2,36,0,133,9-19,10-75,376,6,5.4,3.7
332642440,2013,4,regular,home,2440,Nevada,Mountain West,62,Hawai'i,Mountain West,14-20,10,0-0,1,2,0,29,0,0,12,1,7,202,4,3,27:25,0,8,2,44,0,138,9-17,6-55,340,1,10.1,3.1
332642459,2013,4,regular,away,2197,Eastern Illinois,OVC,2459,Northern Illinois,Mid-American,34-49,27,2-4,0,1,0,0,2,0,114,7,3,450,2,6,28:03,0,0,0,34,0,127,7-16,14-126,577,2,9.2,3.7
332642459,2013,4,regular,home,2459,Northern Illinois,Mid-American,2197,Eastern Illinois,OVC,21-30,31,2-2,1,0,0,-2,2,0,71,6,13,235,2,1,31:33,0,-2,1,52,4,367,6-13,14-103,602,3,7.8,7.1
332642638,2013,4,regular,away,2636,UTSA,Conference USA,2638,UTEP,Conference USA,18-24,19,0-0,0,0,0,0,0,0,50,3,6,204,0,1,33:53,0,0,1,35,3,181,6-13,6-29,385,0,8.5,5.2
332642638,2013,4,regular,home,2638,UTEP,Conference USA,2636,UTSA,Conference USA,17-31,13,0-2,0,0,0,0,0,1,132,3,7,119,0,0,26:07,0,12,3,29,0,99,6-15,4-50,218,0,3.8,3.4
332642641,2013,4,regular,away,326,Texas State,Sun Belt,2641,Texas Tech,Big 12,15-31,11,0-3,2,0,0,26,1,0,21,1,1,133,3,0,32:43,0,3,1,37,1,107,5-16,5-20,240,3,4.3,2.9
