season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2006,Penn State,Big Ten,243,204,6,11,18,23,16,16,16,16,13,0,2,136,174,9,13,0,0,0,19,0,1,2800,2788,424,440,226,244,13,9,12,10,57,71,427,561,14016,14739,1,0,369,111,51,37,457,400,16,8,1950,1137,70,61,186,190,4549,3698,25,29
2006,Pittsburgh,Big East,214,216,9,10,17,22,9,18,18,9,12,4,0,241,72,9,11,0,0,0,0,0,0,3154,2255,332,341,228,215,11,9,28,17,67,69,517,576,12589,13744,1,0,222,191,41,31,380,477,15,17,1476,2175,58,73,143,164,4467,4357,18,29
2006,Purdue,Big Ten,305,308,5,13,17,25,9,19,19,9,14,0,1,104,339,20,11,0,0,0,132,0,8,4239,3547,541,455,322,279,11,20,24,20,74,81,548,614,14132,16627,0,0,149,167,30,30,400,542,23,22,1738,2677,90,76,191,190,5820,6054,29,30
2006,Rice,Conference USA,254,256,10,9,17,16,8,21,21,8,13,1,0,131,120,14,11,0,0,0,0,0,0,3049,3189,435,358,248,202,11,14,29,32,75,110,557,924,15154,13747,0,1,201,201,32,39,438,463,15,18,1703,2442,68,65,182,160,4486,5388,22,32
2006,Rutgers,Big East,219,166,6,6,11,15,6,19,19,6,13,2,1,305,135,13,15,0,0,0,59,0,4,2206,2217,298,312,165,162,14,13,12,8,61,100,502,726,14928,13607,2,1,187,352,50,35,496,447,28,10,2342,1313,69,55,170,183,4486,3279,19,34
2006,SMU,Conference USA,205,217,5,4,13,16,13,14,14,13,12,1,1,70,43,10,11,0,0,0,0,0,0,2563,3148,316,418,203,268,11,10,27,19,77,73,637,572,12118,14301,0,1,180,167,27,26,404,403,7,14,1503,1290,62,71,155,157,3834,4240,23,25
2006,San Diego State,Mountain West,174,234,9,9,17,18,8,10,10,8,12,1,4,93,284,17,9,0,0,0,55,0,2,1950,2162,294,295,171,175,9,17,5,22,68,50,587,425,13053,13206,0,0,98,308,25,36,422,488,8,14,1430,2161,55,71,162,151,3234,4221,25,19
2006,San José State,Western Athletic,224,230,8,13,15,25,13,14,14,13,13,0,0,201,55,8,16,0,0,0,0,0,0,2476,2763,294,390,187,240,16,7,23,18,63,78,491,689,13985,14725,1,0,179,213,31,28,489,471,19,15,2283,1934,65,67,163,163,4644,4614,21,30
2006,South Carolina,SEC,270,231,9,18,20,27,12,8,8,12,13,0,1,92,58,13,14,0,0,0,21,0,1,3408,2669,389,313,243,170,14,11,24,13,85,82,673,656,14773,14583,0,0,147,187,37,18,414,469,19,14,1876,1909,72,60,151,164,5135,4379,25,22
2006,South Florida,Big East,239,228,13,8,23,17,14,11,11,14,13,0,1,47,87,15,15,0,0,0,0,0,0,2971,2614,356,389,226,199,15,14,16,11,104,92,921,769,13910,14491,1,2,446,290,38,30,485,460,22,9,1874,1498,62,68,165,179,4701,3880,29,26
2006,Southern Miss,Conference USA,264,226,6,17,18,29,12,9,9,12,14,4,0,277,54,7,17,0,0,0,0,0,0,2371,2661,353,393,198,206,17,7,14,14,74,106,584,848,15910,14473,1,0,232,205,44,35,535,456,23,19,2378,1789,75,52,181,165,4635,4313,19,26
2006,Stanford,Pac-10,163,268,6,8,18,16,20,8,8,20,12,2,1,147,76,11,7,0,0,0,0,0,0,2363,2235,316,325,167,196,7,11,10,14,59,62,418,598,12401,14937,0,1,73,214,18,44,367,519,3,26,781,2526,45,79,149,163,2783,4650,31,15
2006,Syracuse,Big East,183,245,3,5,11,13,14,12,12,14,12,1,0,119,62,5,17,0,0,0,0,0,0,2221,2786,311,348,161,226,17,5,13,15,70,71,552,619,12963,13395,0,0,161,199,28,37,420,467,8,19,1283,2221,63,73,172,163,3168,4792,19,29
2006,TCU,Mountain West,287,168,5,8,11,17,15,11,11,15,13,2,0,176,110,6,16,0,0,0,77,0,4,2875,2506,352,386,216,207,16,6,15,9,93,56,780,469,14887,13618,0,2,417,176,55,41,557,367,28,8,2530,791,79,48,179,160,5310,3054,21,27
2006,Temple,FBS Independents,127,251,4,13,20,21,13,6,6,13,12,0,0,88,134,15,9,0,0,0,0,0,0,2157,2380,283,294,171,169,9,15,12,19,64,65,489,575,11830,12178,0,1,35,469,13,51,316,445,4,35,533,2586,36,50,143,134,2367,4870,28,15
2006,Tennessee,SEC,249,231,6,6,11,13,9,5,5,9,13,2,0,237,184,11,16,0,0,0,0,0,0,3577,2470,415,331,265,190,16,11,24,16,64,66,490,481,13612,14857,1,1,239,254,36,32,382,469,17,12,1404,1907,78,70,162,170,4842,4258,20,21
2006,Texas,Big 12,283,200,11,5,16,12,15,25,25,15,13,1,1,110,66,9,13,0,0,0,87,0,5,3111,3381,371,410,244,239,13,9,31,21,70,115,631,880,14802,13747,3,0,362,102,50,32,483,345,22,8,2114,795,65,62,156,170,5089,3866,24,38
2006,Texas A&M,Big 12,265,207,9,10,16,14,9,12,12,9,13,0,0,36,53,4,11,0,0,0,66,0,5,2589,2587,330,368,202,203,11,4,13,14,76,63,613,543,15957,12605,0,0,175,242,36,29,540,399,32,20,2689,1717,89,40,177,136,5166,4194,13,23
2006,Texas Tech,Big 12,310,253,11,8,23,14,18,13,13,18,13,2,2,187,94,11,11,0,0,41,131,3,6,4908,2436,654,365,437,213,11,11,39,19,95,70,833,613,13930,16061,0,0,374,128,45,33,220,511,13,17,1020,1964,55,73,149,179,5347,4114,29,24
2006,Toledo,Mid-American,220,213,19,12,36,21,13,9,9,13,12,3,4,284,217,11,11,0,0,0,0,0,0,2252,2471,386,341,215,193,11,11,13,19,83,76,801,607,13761,12247,0,0,98,201,31,39,470,428,21,17,1875,1655,76,51,194,146,3923,3997,24,20
2006,Troy,Sun Belt,215,241,16,7,24,13,16,10,10,16,13,0,0,31,252,18,16,0,0,0,0,0,0,2710,2995,408,421,252,244,16,17,22,17,79,89,750,693,13017,15436,1,1,322,100,48,41,436,458,13,18,1671,1684,62,66,179,170,4159,4477,34,26
2006,Tulane,Conference USA,227,254,4,5,14,19,16,7,7,16,12,1,0,106,185,12,8,0,0,0,0,0,0,3178,3123,440,386,245,247,8,11,18,23,72,71,584,551,12470,13694,0,0,169,291,26,43,353,428,9,23,1106,1794,69,73,173,161,4064,4796,28,15
2006,Tulsa,Conference USA,258,202,13,10,21,14,10,5,5,10,13,1,0,62,76,9,8,0,0,0,0,0,0,3026,2182,365,345,243,188,8,9,16,14,65,71,562,586,15300,12960,0,0,206,151,43,21,484,422,30,16,2107,1789,74,61,161,158,5051,3859,19,13
