season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2017,Duke,ACC,299,212,17,6,27,27,7,4,4,7,13,4,1,224,99,12,15,0,0,698,1008,30,52,2774,2332,469,330,266,167,15,12,16,16,62,74,541,695,24529,22271,0,1,107,186,19,27,547,498,22,16,2228,1992,29,29,87,87,82,57,209,178,5002,4324,19,19
2017,East Carolina,American Athletic,279,296,17,8,29,13,5,4,3,4,12,0,4,72,236,16,7,0,1,878,533,45,20,3815,3542,541,339,307,225,7,16,26,31,80,93,705,931,22420,20780,0,1,-4,204,6,17,396,503,10,36,1292,2958,11,19,39,67,82,78,199,150,5107,6500,21,11
2017,Eastern Michigan,Mid-American,243,223,10,2,17,10,7,10,8,7,12,2,2,162,166,15,8,0,0,618,856,37,40,3088,2284,435,336,257,195,8,15,21,16,74,88,690,757,21574,21626,1,0,128,99,27,17,422,481,14,17,1555,2079,28,17,70,61,60,64,174,176,4643,4363,22,18
2017,Florida,SEC,185,192,12,5,18,7,10,3,3,10,11,3,1,228,82,10,14,0,0,553,239,26,9,1975,2149,312,270,174,148,14,10,10,16,88,64,646,501,20495,19105,0,0,66,306,14,27,400,400,15,16,1720,1693,23,37,72,73,51,46,157,139,3695,3842,20,17
2017,Florida Atlantic,Conference USA,340,305,24,14,39,32,6,6,5,4,14,0,0,190,43,7,20,1,0,734,399,34,26,2983,3230,361,494,234,276,20,7,21,18,82,69,733,605,23068,27332,0,0,155,54,17,12,665,557,52,22,3994,2224,40,16,85,86,73,85,184,216,6977,5454,13,26
2017,Florida International,Conference USA,269,293,10,12,21,28,11,11,11,11,13,1,0,58,63,10,7,0,0,716,615,37,33,3031,3166,396,419,252,274,7,10,19,24,84,70,844,605,23981,22819,0,0,49,73,14,13,495,478,20,23,2064,2227,26,28,75,74,79,61,185,159,5095,5393,21,18
2017,Florida State,ACC,234,226,5,13,10,27,8,6,6,8,13,2,0,88,133,13,9,0,0,653,677,27,33,2551,2541,345,440,202,243,9,13,21,15,78,60,699,510,23435,22765,0,0,255,253,32,20,463,466,18,19,2024,1763,29,32,93,93,57,72,163,199,4575,4304,21,15
2017,Fresno State,Mountain West,269,239,10,7,15,23,6,12,11,5,14,2,1,82,101,7,9,0,0,844,707,39,39,3331,2900,437,461,268,275,9,7,19,14,74,72,610,567,26276,24124,0,1,103,188,16,13,515,463,22,13,2170,1588,34,10,90,45,68,70,191,202,5501,4488,13,21
2017,Georgia,SEC,306,234,7,5,12,17,7,8,7,6,15,0,0,173,82,9,12,0,0,612,566,27,29,2653,2535,305,436,186,243,12,9,24,19,95,78,834,595,28908,25092,0,0,283,101,28,17,670,506,42,8,3876,1890,32,18,85,67,89,71,197,216,6529,4425,16,20
2017,Georgia Southern,Sun Belt,210,226,17,7,28,16,13,6,6,13,12,0,0,80,43,7,14,1,0,1050,146,52,7,1320,2761,195,332,105,184,14,7,8,28,77,63,648,545,24472,18728,0,1,143,153,15,15,644,413,19,21,2668,2161,22,30,67,92,67,58,191,148,3988,4922,20,20
2017,Georgia State,Sun Belt,239,222,7,14,14,24,12,7,7,9,12,0,0,67,240,9,10,1,1,614,863,31,38,3248,3017,413,406,265,256,10,9,15,23,62,71,569,578,22800,20400,0,0,96,184,16,20,439,396,12,14,1403,1637,24,25,54,75,78,67,185,174,4651,4654,21,17
2017,Georgia Tech,ACC,214,201,8,10,19,18,10,4,4,10,11,1,1,71,78,5,6,1,1,775,1077,45,45,927,2207,119,333,43,196,5,5,10,17,44,42,394,396,22122,17478,0,1,125,198,17,21,632,373,30,15,3381,1690,17,20,47,66,72,43,158,140,4308,3897,15,10
